planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
TOI-1439 b,TOI-1439,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1439 b,TOI-1439,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1443 b,TOI-1443,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1443 b,TOI-1443,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1448 b,TOI-1448,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1448 b,TOI-1448,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1450 A b,TOI-1450 A,1,2,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1450 A b,TOI-1450 A,0,2,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1450 A c,TOI-1450 A,1,2,2,Transit,2024,Gemini Observatory,Published Confirmed
TOI-1451 b,TOI-1451,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1451 b,TOI-1451,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1467 b,TOI-1467,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1467 b,TOI-1467,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1467 b,TOI-1467,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1472 b,TOI-1472,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1472 b,TOI-1472,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1669 c,TOI-1669,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1669 c,TOI-1669,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1683.01,TOI-1683,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1683.01,TOI-1683,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1691 b,TOI-1691,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1691 b,TOI-1691,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1723 b,TOI-1723,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1723 b,TOI-1723,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1739 b,TOI-1739,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1739 b,TOI-1739,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1742 b,TOI-1742,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1742 b,TOI-1742,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1751 b,TOI-1751,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1751 b,TOI-1751,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1751 b,TOI-1751,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1753 b,TOI-1753,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1753 b,TOI-1753,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1758 b,TOI-1758,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1758 b,TOI-1758,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1775 b,TOI-1775,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1775 b,TOI-1775,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1776 b,TOI-1776,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1776 b,TOI-1776,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1794 b,TOI-1794,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1794 b,TOI-1794,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1798.01,TOI-1798,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1798.01,TOI-1798,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1798.02,TOI-1798,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1798.02,TOI-1798,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1798.02,TOI-1798,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1799 b,TOI-1799,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1799 b,TOI-1799,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1806.01,TOI-1806,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1806.01,TOI-1806,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1823 b,TOI-1823,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1823 b,TOI-1823,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1824 b,TOI-1824,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1824 b,TOI-1824,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1836 b,TOI-1836,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1836 b,TOI-1836,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1836 c,TOI-1836,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1836 c,TOI-1836,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1855 b,TOI-1855,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1855 b,TOI-1855,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1898 b,TOI-1898,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1898 b,TOI-1898,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1994 b,TOI-1994,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1994 b,TOI-1994,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2019 b,TOI-2019,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2019 b,TOI-2019,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-2068 b,TOI-2068,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2068 b,TOI-2068,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-2088 b,TOI-2088,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2088 b,TOI-2088,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-2107 b,TOI-2107,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2107 b,TOI-2107,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-2120 b,TOI-2120,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-2120 b,TOI-2120,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-2128 b,TOI-2128,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
